Monthly_Income_M,Credit_Score,Loan_Amount_M,Work_Experience_Years,Has_Prior_Default,DTI_Ratio,Approved
62.9,642,292,7.5,0,0.162,1
67.3,627,284,25.4,0,0.148,1
78.8,683,314,4.7,0,0.139,1
78.2,736,266,1.9,0,0.119,1
24.7,850,260,6.9,1,0.368,0
34.4,740,392,23.3,0,0.399,1
66.3,769,427,1.2,0,0.225,1
66.3,627,94,2.4,0,0.05,1
66.3,583,261,4.7,0,0.138,1
139.8,675,184,1.1,1,0.046,0
67.6,679,226,0.1,0,0.117,1
80.0,578,304,2.5,0,0.133,1
76.0,655,334,12.0,1,0.154,0
69.3,704,248,0.3,0,0.125,1
48.1,701,50,3.4,0,0.036,1
71.7,713,154,8.6,0,0.075,1
38.0,695,359,18.4,0,0.331,1
49.8,627,40,25.4,0,0.028,1
44.3,626,391,3.3,0,0.309,1
56.8,568,317,18.0,0,0.195,1
105.9,822,405,0.2,0,0.134,1
15.0,671,238,8.2,0,0.555,0
70.1,651,40,6.2,0,0.02,1
19.5,591,307,1.7,0,0.551,0
44.6,850,400,4.2,1,0.314,0
79.0,579,362,0.8,0,0.16,1
56.4,634,187,12.3,0,0.116,1
31.3,705,270,2.7,0,0.302,1
39.3,721,201,5.9,0,0.179,1
70.0,751,170,1.0,1,0.085,0
38.9,824,365,1.4,0,0.328,1
59.8,713,128,28.9,1,0.075,0
56.0,580,162,8.4,0,0.101,1
40.7,648,139,19.6,0,0.12,1
102.2,696,96,2.1,0,0.033,1
68.9,846,276,1.1,0,0.14,1
15.0,551,388,4.2,0,0.905,0
59.1,772,240,4.1,0,0.142,1
40.4,685,94,1.2,0,0.081,1
73.8,741,352,7.9,0,0.167,1
37.6,661,445,2.7,0,0.414,1
52.5,598,189,1.2,0,0.126,1
66.1,734,207,2.4,0,0.11,1
74.0,726,317,5.0,0,0.15,1
28.6,753,438,7.8,0,0.536,1
47.6,669,203,3.9,1,0.149,0
44.6,619,113,4.5,0,0.089,1
40.6,538,329,0.9,0,0.284,0
93.8,740,348,14.8,1,0.13,0
63.9,706,261,15.8,0,0.143,1
27.3,588,199,6.9,0,0.255,1
75.2,624,369,0.1,0,0.172,1
101.7,630,318,4.6,0,0.109,1
77.7,544,175,6.0,0,0.079,1
21.6,600,265,31.4,0,0.429,1
44.3,574,111,33.2,0,0.088,1
82.9,635,335,11.7,0,0.141,1
39.4,607,231,0.4,0,0.205,1
64.8,532,212,18.4,0,0.115,1
72.0,842,256,5.7,0,0.124,1
34.6,776,264,9.7,0,0.267,1
53.7,604,358,3.1,1,0.233,0
15.0,693,325,2.3,0,0.758,0
32.5,705,243,3.7,1,0.262,0
49.4,771,344,1.0,0,0.244,1
27.5,600,304,2.7,0,0.387,0
90.9,763,213,11.7,0,0.082,1
23.5,623,246,0.2,0,0.366,0
45.3,556,244,1.0,1,0.189,0
57.9,732,316,0.8,0,0.191,1
86.7,780,220,3.1,0,0.089,1
23.4,850,217,34.8,0,0.325,1
80.6,568,477,1.1,0,0.207,1
55.2,729,363,0.9,0,0.23,1
33.4,635,176,14.8,1,0.184,0
65.2,737,323,12.8,0,0.173,1
59.4,545,273,0.2,1,0.161,0
41.8,563,303,8.4,0,0.254,1
56.5,604,275,6.4,0,0.17,1
46.5,677,391,8.8,0,0.294,1
57.5,616,298,4.1,0,0.181,1
69.6,726,253,28.5,0,0.127,1
89.9,757,375,0.3,0,0.146,1
27.8,721,286,1.6,0,0.36,1
101.9,808,273,3.0,0,0.094,1
15.0,705,295,3.6,0,0.688,0
51.7,567,250,15.3,0,0.169,1
67.9,786,261,4.9,0,0.135,1
61.2,619,195,0.3,0,0.112,1
41.3,747,177,3.1,0,0.15,1
50.4,804,150,3.2,0,0.104,1
44.2,709,107,20.2,0,0.085,1
42.0,543,163,5.5,0,0.136,1
73.7,592,241,6.1,0,0.114,1
62.9,782,271,7.5,0,0.151,1
39.8,656,230,8.8,0,0.202,1
74.8,677,40,6.0,0,0.019,1
61.8,735,433,1.6,0,0.245,1
72.9,729,380,12.4,0,0.182,1
68.9,694,309,7.9,0,0.157,1
36.8,652,470,8.1,0,0.447,1
42.7,643,152,34.0,0,0.125,1
71.4,743,468,9.7,0,0.229,1
68.4,717,154,10.6,0,0.079,1
54.5,648,286,18.1,0,0.184,1
57.6,762,120,1.0,0,0.073,1
83.1,659,262,4.1,0,0.11,1
42.0,598,302,5.2,0,0.252,1
67.0,605,243,2.4,0,0.127,1
50.6,587,339,11.0,0,0.234,1
50.2,647,271,8.6,1,0.189,0
79.2,775,203,7.7,0,0.09,1
73.2,602,198,35.0,0,0.095,1
72.9,686,349,1.8,0,0.168,1
83.7,614,188,8.0,0,0.079,1
55.5,648,361,4.8,0,0.228,1
70.0,542,394,2.3,0,0.197,1
48.2,651,76,1.1,0,0.055,1
62.1,654,385,13.6,0,0.217,1
52.1,716,487,5.4,0,0.327,1
57.1,689,288,10.5,0,0.177,1
68.1,568,326,4.7,0,0.168,1
37.0,762,374,1.5,0,0.354,1
101.0,688,230,2.5,0,0.08,1
32.9,687,280,2.9,0,0.298,1
28.3,669,115,21.7,0,0.142,1
80.5,626,275,0.0,0,0.12,1
72.4,689,315,25.5,0,0.152,1
68.7,710,317,23.6,0,0.161,1
68.8,522,377,33.4,0,0.192,1
54.7,624,175,3.9,0,0.112,1
35.3,648,201,19.9,0,0.199,1
56.7,692,469,3.0,0,0.29,1
40.1,771,243,0.2,0,0.212,1
76.5,604,282,1.5,0,0.129,1
51.8,628,253,17.4,1,0.171,0
36.8,626,170,0.1,0,0.162,1
47.9,602,439,4.7,0,0.321,1
64.1,640,202,0.5,0,0.11,1
42.6,736,136,2.0,0,0.112,1
36.9,580,210,0.6,0,0.199,1
60.4,706,40,11.8,0,0.023,1
60.4,525,188,5.4,0,0.109,1
43.8,622,154,13.9,0,0.123,1
44.6,642,328,7.0,0,0.257,1
60.1,812,186,21.2,0,0.108,1
23.1,647,358,4.3,0,0.542,0
24.0,483,414,6.1,0,0.604,0
39.2,500,346,5.2,0,0.309,0
50.3,673,236,4.0,0,0.164,1
61.8,722,276,11.2,0,0.156,1
87.5,702,92,6.2,0,0.037,1
73.9,684,245,9.7,0,0.116,1
51.5,769,165,9.3,0,0.112,1
54.6,624,336,1.3,0,0.215,1
32.9,746,543,6.3,0,0.578,1
54.6,531,315,1.3,1,0.202,0
48.6,593,41,5.3,0,0.03,1
62.1,516,220,6.8,0,0.124,1
36.8,647,273,35.0,0,0.26,1
66.4,666,270,0.2,0,0.142,1
88.7,680,180,0.6,0,0.071,1
52.6,675,287,0.5,0,0.191,1
63.8,591,123,3.0,0,0.067,1
70.2,654,156,10.3,0,0.078,1
46.2,543,331,11.1,1,0.251,0
59.9,786,148,8.0,0,0.086,1
55.3,644,319,13.6,0,0.202,1
57.1,628,109,2.3,0,0.067,1
38.0,805,454,0.6,0,0.418,1
55.5,564,175,0.4,0,0.11,1
66.0,574,235,11.5,0,0.125,1
86.9,577,296,7.9,0,0.119,1
76.1,664,198,7.2,0,0.091,1
102.4,707,276,2.5,0,0.094,1
38.1,733,323,2.9,0,0.297,1
74.2,850,366,19.0,0,0.173,1
59.0,479,347,0.4,0,0.206,0
103.2,722,241,8.9,0,0.082,1
37.2,623,244,2.2,0,0.23,1
36.5,620,518,0.2,0,0.497,0
41.8,617,364,8.1,0,0.305,1
15.0,593,159,2.4,0,0.371,0
43.4,813,271,7.7,0,0.219,1
38.3,742,223,7.4,1,0.204,0
58.3,672,245,4.6,0,0.147,1
62.5,785,125,9.0,0,0.07,1
96.3,541,215,5.2,0,0.078,1
75.9,557,459,2.0,0,0.212,1
42.3,485,324,7.9,0,0.268,0
35.2,611,40,5.3,0,0.04,1
65.8,684,394,0.1,0,0.21,1
26.0,679,380,13.9,0,0.512,1
95.3,683,220,4.7,0,0.081,1
80.9,550,339,12.2,0,0.147,1
44.7,738,165,12.9,0,0.129,1
17.3,690,208,3.5,0,0.421,0
84.8,732,425,4.3,1,0.175,0
52.5,509,230,3.2,1,0.153,0
82.2,696,54,3.6,1,0.023,0
19.9,569,253,13.5,0,0.445,0
41.8,636,251,9.3,0,0.21,1
55.1,715,392,0.8,0,0.249,1
56.0,678,262,5.7,0,0.164,1
45.1,598,214,33.0,0,0.166,1
68.7,671,375,5.4,0,0.191,1
31.5,540,273,9.2,0,0.303,0
51.9,768,177,8.8,0,0.119,1
57.6,653,387,2.6,0,0.235,1
66.3,765,281,2.8,1,0.148,0
70.7,625,260,7.7,0,0.129,1
30.3,625,280,4.2,0,0.323,1
21.2,605,142,5.1,0,0.234,1
83.1,744,202,7.5,0,0.085,1
62.3,610,260,9.0,0,0.146,1
38.5,725,239,1.9,1,0.217,0
89.1,637,400,1.0,1,0.157,0
57.5,502,284,2.1,1,0.173,0
80.9,622,354,4.3,0,0.153,1
56.5,570,261,2.5,0,0.162,1
100.3,673,376,5.0,0,0.131,1
93.6,569,304,0.3,0,0.114,1
49.5,749,261,4.3,0,0.185,1
76.4,662,259,2.8,0,0.119,1
69.2,655,155,4.6,0,0.078,1
85.1,726,316,3.3,0,0.13,1
33.8,752,256,2.0,0,0.265,1
70.1,668,205,14.1,0,0.102,1
78.3,604,382,1.2,1,0.171,0
16.3,519,122,6.9,0,0.262,0
29.0,612,214,15.5,1,0.258,0
15.0,618,373,4.6,0,0.87,0
49.1,679,295,12.5,0,0.21,1
70.8,641,255,0.8,0,0.126,1
88.1,728,288,4.1,0,0.114,1
56.6,618,280,3.7,0,0.173,1
90.8,665,93,0.0,0,0.036,1
24.6,771,222,3.5,0,0.316,1
17.5,699,438,2.8,0,0.876,0
53.8,665,187,6.6,0,0.122,1
63.4,619,225,16.7,0,0.124,1
54.3,616,200,0.5,0,0.129,1
15.0,598,250,2.4,0,0.583,0
53.0,624,196,3.5,0,0.129,1
26.3,734,314,3.6,0,0.418,1
69.7,651,282,8.9,0,0.142,1
63.1,555,345,3.5,0,0.191,1
34.3,820,144,0.2,0,0.147,1
43.7,697,223,7.4,0,0.179,1
31.7,550,235,13.0,0,0.259,1
53.6,632,310,4.3,0,0.202,1
76.0,679,173,5.2,0,0.08,1
33.3,815,361,1.1,0,0.379,1
66.1,576,391,1.5,0,0.207,1
43.3,753,151,1.6,0,0.122,1
37.6,789,206,3.4,0,0.192,1
52.6,617,201,15.8,0,0.134,1
32.2,646,550,4.4,0,0.598,0
42.8,582,213,1.3,0,0.174,1
28.6,653,445,1.9,0,0.545,0
98.2,667,121,2.9,0,0.043,1
55.8,726,151,5.9,0,0.095,1
39.6,763,184,3.5,0,0.163,1
59.7,606,167,3.0,0,0.098,1
52.5,503,231,5.0,0,0.154,1
50.1,668,182,1.7,0,0.127,1
68.5,695,170,0.5,0,0.087,1
71.7,691,387,0.1,0,0.189,1
43.3,642,395,1.7,0,0.319,1
42.3,681,364,0.6,0,0.301,1
48.9,799,318,2.5,0,0.228,1
15.0,702,270,8.9,0,0.63,0
21.7,638,205,7.6,0,0.331,1
85.1,627,155,5.7,0,0.064,1
91.2,656,300,11.5,0,0.115,1
49.5,809,131,2.0,0,0.093,1
67.7,654,151,13.0,0,0.078,1
61.8,668,387,3.1,0,0.219,1
122.7,629,469,3.1,0,0.134,1
79.6,763,303,3.1,0,0.133,1
52.2,837,382,0.6,0,0.256,1
34.0,708,233,22.3,0,0.24,1
19.7,677,113,0.9,0,0.201,1
59.5,673,327,2.5,0,0.192,1
38.4,467,323,2.3,1,0.294,0
23.7,733,268,0.5,0,0.396,1
40.8,681,233,1.0,0,0.2,1
31.2,706,366,0.3,0,0.411,1
92.1,610,152,2.1,0,0.058,1
74.4,637,175,12.1,0,0.082,1
54.8,635,149,2.5,1,0.095,0
87.6,757,269,0.8,0,0.107,1
56.7,638,140,6.2,0,0.086,1
36.1,847,185,34.1,0,0.179,1
88.5,707,182,1.6,0,0.072,1
66.9,562,231,2.0,1,0.121,0
32.2,659,96,21.4,0,0.104,1
50.8,615,270,1.2,0,0.186,1
35.7,483,397,4.3,0,0.389,0
24.6,806,275,1.6,1,0.391,0
75.4,730,430,16.2,0,0.2,1
97.0,715,407,23.9,0,0.147,1
24.2,684,346,10.1,0,0.5,1
67.4,553,268,2.3,0,0.139,1
40.7,629,262,3.1,0,0.225,1
44.3,742,344,1.7,0,0.272,1
42.0,581,217,13.3,0,0.181,1
36.0,455,53,14.8,1,0.052,0
56.1,651,314,3.3,0,0.196,1
36.7,658,136,6.4,0,0.13,1
61.0,682,154,1.1,0,0.088,1
53.9,732,260,3.4,1,0.169,0
49.7,724,250,6.0,0,0.176,1
35.0,692,105,2.9,0,0.105,1
42.3,772,278,2.7,1,0.23,0
71.6,541,366,0.0,0,0.179,1
66.0,713,136,9.8,0,0.072,1
33.5,723,400,13.2,0,0.418,1
57.2,565,88,20.9,0,0.054,1
71.5,542,493,7.6,0,0.241,1
18.3,607,215,4.8,0,0.411,0
67.0,614,276,1.9,0,0.144,1
40.4,734,52,35.0,0,0.045,1
67.6,618,253,5.3,0,0.131,1
38.2,597,285,6.9,0,0.261,1
15.3,618,251,6.9,0,0.574,0
19.2,765,198,11.2,0,0.361,1
56.1,671,156,0.1,1,0.097,0
60.7,655,384,1.5,0,0.221,1
35.1,661,263,6.6,1,0.262,0
69.0,780,429,13.5,0,0.218,1
18.4,606,202,6.9,0,0.384,0
53.5,782,212,3.2,0,0.139,1
28.4,688,350,2.7,1,0.431,0
40.7,656,81,8.0,1,0.07,0
56.0,850,127,8.1,0,0.079,1
36.1,580,381,5.6,0,0.369,0
46.5,640,131,2.1,0,0.099,1
77.1,565,60,15.6,0,0.027,1
42.3,751,466,4.8,1,0.386,0
73.4,814,107,9.4,0,0.051,1
30.1,812,280,1.4,0,0.326,1
66.7,774,268,2.5,0,0.141,1
86.7,653,40,12.5,0,0.016,1
15.0,639,231,0.3,0,0.539,0
37.5,528,309,4.3,0,0.288,0
67.7,843,299,3.9,0,0.155,1
50.5,710,359,8.3,0,0.249,1
63.2,628,217,2.0,0,0.12,1
41.7,783,338,1.5,0,0.284,1
56.9,587,184,15.6,0,0.113,1
51.6,705,105,5.1,0,0.071,1
80.7,655,117,0.7,0,0.051,1
60.6,724,99,1.3,0,0.057,1
62.4,665,371,35.0,0,0.208,1
45.9,547,93,1.3,0,0.071,1
44.3,676,290,5.7,0,0.229,1
45.5,759,231,3.3,0,0.178,1
63.7,668,249,13.0,1,0.137,0
45.7,736,410,8.4,0,0.314,1
61.4,581,212,5.5,0,0.121,1
100.7,668,327,0.1,0,0.114,1
74.2,617,264,12.7,0,0.125,1
47.8,733,243,3.5,0,0.178,1
81.4,673,513,16.1,0,0.221,1
46.0,729,101,4.1,0,0.077,1
15.0,762,402,7.1,0,0.938,0
32.8,729,332,0.4,0,0.354,1
15.0,693,207,8.2,0,0.483,1
47.3,585,439,2.5,0,0.325,1
55.4,670,57,2.6,0,0.036,1
91.9,625,203,0.8,0,0.077,1
62.2,641,127,1.0,0,0.071,1
50.2,638,305,1.2,0,0.213,1
73.2,587,138,2.4,0,0.066,1
15.0,504,308,13.4,0,0.719,0
60.2,613,239,2.8,0,0.139,1
72.0,686,207,7.7,1,0.101,0
22.5,555,303,0.5,1,0.471,0
80.2,671,230,5.4,0,0.1,1
62.4,832,140,3.9,0,0.079,1
45.9,757,568,22.9,0,0.433,1
68.9,810,206,11.2,0,0.105,1
105.0,703,40,3.6,0,0.013,1
59.0,769,167,9.0,0,0.099,1
60.5,608,121,1.3,1,0.07,0
44.9,615,351,5.0,0,0.274,1
36.3,437,295,0.5,0,0.284,0
73.3,771,304,2.6,0,0.145,1
36.2,801,219,1.5,0,0.212,1
56.6,623,229,7.6,0,0.142,1
44.5,648,219,4.0,0,0.172,1
65.5,606,251,8.3,0,0.134,1
62.3,703,352,4.3,1,0.198,0
77.8,766,297,0.5,0,0.134,1
43.8,522,315,8.0,0,0.252,1
49.1,705,315,10.7,0,0.225,1
33.5,646,357,14.0,0,0.373,1
45.2,680,292,5.1,0,0.226,1
63.3,709,299,8.4,0,0.165,1
71.7,654,391,8.4,0,0.191,1
34.7,661,187,1.0,0,0.189,1
74.1,652,166,1.1,1,0.078,0
84.8,752,130,0.4,0,0.054,1
64.1,706,280,2.3,0,0.153,1
96.3,689,56,3.8,0,0.02,1
38.0,562,311,35.0,0,0.286,1
27.6,638,248,3.4,0,0.314,1
15.9,746,385,7.8,0,0.847,0
87.9,673,186,7.1,0,0.074,1
69.4,726,238,1.4,0,0.12,1
53.8,820,383,0.4,0,0.249,1
61.2,758,412,4.7,0,0.236,1
30.2,678,185,7.2,0,0.214,1
108.8,627,280,35.0,1,0.09,1
57.8,453,292,2.7,0,0.177,0
57.4,656,301,13.6,0,0.184,1
71.0,642,231,2.9,0,0.114,1
65.6,703,401,7.0,0,0.214,1
59.9,657,52,5.5,1,0.03,0
37.6,643,214,0.3,0,0.199,1
65.4,519,309,0.5,0,0.165,1
96.4,590,310,0.1,0,0.113,1
84.6,711,409,2.8,0,0.169,1
90.1,816,392,8.2,0,0.152,1
43.8,662,229,1.1,0,0.183,1
33.2,698,403,5.6,0,0.425,1
52.2,751,181,2.0,0,0.121,1
56.2,601,362,9.6,0,0.225,1
79.1,701,459,9.6,0,0.203,1
17.8,607,394,9.0,0,0.775,0
88.7,744,272,4.5,0,0.107,1
51.5,683,224,2.0,0,0.152,1
45.6,695,92,9.9,1,0.071,0
32.7,603,294,1.2,0,0.315,0
18.6,730,137,2.1,0,0.258,1
73.1,847,173,1.2,0,0.083,1
56.6,584,129,6.7,0,0.08,1
26.6,641,209,7.0,1,0.275,0
26.5,690,257,6.3,0,0.339,1
47.6,737,290,3.2,0,0.213,1
91.7,622,194,0.6,1,0.074,0
49.3,429,378,14.5,0,0.268,1
21.9,786,237,4.3,0,0.379,1
49.6,735,173,3.1,0,0.122,1
49.0,522,285,5.3,0,0.204,1
15.0,618,476,1.3,0,1.111,0
53.8,803,297,0.9,0,0.193,1
49.9,793,220,3.1,0,0.154,1
70.3,750,92,1.5,0,0.046,1
95.7,655,236,1.7,0,0.086,1
79.8,677,286,13.4,0,0.125,1
49.1,659,217,4.5,0,0.155,1
30.7,766,77,4.0,0,0.088,1
111.6,596,166,7.0,0,0.052,1
56.3,602,420,18.2,0,0.261,1
55.3,756,418,0.7,0,0.265,1
54.5,666,162,10.8,0,0.104,1
59.4,787,334,5.3,0,0.197,1
51.8,613,130,0.9,0,0.088,1
42.4,665,414,2.1,0,0.342,1
43.0,592,287,4.0,0,0.234,1
54.3,671,364,7.0,0,0.235,1
43.0,544,71,1.7,0,0.058,1
39.3,629,335,4.6,0,0.298,1
57.3,548,259,6.9,0,0.158,1
49.4,729,354,3.6,1,0.251,0
88.1,731,361,11.9,0,0.143,1
15.0,523,267,12.2,0,0.623,0
79.0,783,194,3.8,0,0.086,1
82.4,850,346,21.7,0,0.147,1
15.0,674,253,0.5,1,0.59,0
47.5,616,164,0.0,0,0.121,1
46.8,850,159,2.9,1,0.119,0
24.0,558,98,5.5,0,0.143,0
37.9,672,204,6.0,0,0.188,1
30.6,685,381,3.9,0,0.436,1
93.5,784,280,0.8,0,0.105,1
75.6,701,202,1.1,0,0.094,1
83.0,628,349,11.5,0,0.147,1
70.9,589,168,12.1,0,0.083,1
30.2,641,270,6.7,0,0.313,1
43.5,584,240,6.5,0,0.193,1
65.8,674,346,5.5,0,0.184,1
28.1,622,87,1.4,0,0.108,1
70.7,543,166,3.4,0,0.082,1
49.7,777,80,7.1,0,0.056,1
46.8,628,231,4.6,0,0.173,1
70.6,562,393,0.1,0,0.195,1
64.8,656,204,18.4,0,0.11,1
47.1,676,204,11.2,0,0.152,1
80.5,522,356,1.8,1,0.155,0
31.2,698,378,5.7,0,0.424,1
68.6,581,250,15.4,0,0.128,1
68.0,815,335,0.6,0,0.172,1
48.2,715,142,4.2,0,0.103,1
62.2,636,412,3.7,0,0.232,1
27.5,607,496,3.2,0,0.631,0
75.3,661,317,10.8,0,0.147,1
50.9,722,40,2.9,0,0.028,1
43.5,668,199,0.4,0,0.16,1
78.1,652,327,0.4,0,0.147,1
39.5,675,214,0.3,0,0.19,1
24.0,619,400,3.2,0,0.583,0
